train_loss,val_loss,val_mae,val_r2,learning_rates
0.018232242190944298,0.0026968238865568614,0.043077536,0.9007781744003296,0.001
0.005654499254056386,0.0010048208059743047,0.025627539,0.962835431098938,0.001
0.00448469089543713,0.0006970173029306655,0.020737495,0.9740610718727112,0.001
0.0037122345712435035,0.0006822751553651566,0.020265274,0.9746128916740417,0.001
0.0034815934702887067,0.0005864920325014585,0.018718814,0.9781728386878967,0.001
0.003216610135444041,0.0006171092002963027,0.019640235,0.9771602153778076,0.001
0.0028719353739039173,0.0005933992627736492,0.01839084,0.9777835607528687,0.001
0.002851240019247468,0.0005126522943707338,0.01730308,0.9809877276420593,0.001
0.0024672006290139895,0.0005367306487945219,0.01736081,0.9800349473953247,0.001
0.0024594232506517854,0.0005218213397408059,0.017026393,0.9805687665939331,0.001
0.0023237776210797683,0.0004703851651963002,0.016296625,0.9825124740600586,0.001
0.002202270186639258,0.0003710958668913615,0.014700109,0.9861792325973511,0.001
0.00225750209564077,0.0004306566746284564,0.01607999,0.9840055108070374,0.001
0.0020874098866313162,0.0004687319439350783,0.016488055,0.9825353026390076,0.001
0.0021616492603373314,0.00041139759681148763,0.01565198,0.9846762418746948,0.001
0.00217997334631426,0.000409022935248989,0.016112821,0.9848790764808655,0.001
0.002294863580859133,0.0004925084152394751,0.016771695,0.981643557548523,0.001
0.0022674124571494757,0.0004546217569441069,0.016605861,0.9831027984619141,0.001
0.0019958546709468853,0.000342600253134151,0.014337932,0.9872915148735046,0.001
0.0020280277955212764,0.0003013294390257215,0.013347056,0.9887992143630981,0.001
0.00203806114649134,0.0003529116305192777,0.014356975,0.9868618845939636,0.001
0.0018285802540568901,0.0003953214921542288,0.015917623,0.9853271842002869,0.001
0.0020325254557454694,0.000514052992609019,0.017648375,0.9808923006057739,0.001
0.0019700025482701938,0.00042904779305293533,0.016084434,0.9840397834777832,0.001
0.001819434403608154,0.00047316844150676235,0.016239095,0.9824908971786499,0.001
0.0018205132011124598,0.0003261946718945789,0.014113513,0.9879451990127563,0.001
0.0017680791447803911,0.00027035050637399155,0.012881442,0.9900027513504028,0.001
0.0018636471425582256,0.0003452319106145296,0.014894986,0.9871482849121094,0.001
0.0019031427210263376,0.00039417964217136614,0.0153391035,0.9852874875068665,0.001
0.001763436764511945,0.00035372328784433194,0.014891879,0.9869064688682556,0.001
0.0018614225430480605,0.00031530154653106973,0.013946985,0.9882844686508179,0.001
0.0018582394113764167,0.0005543244794049921,0.018711986,0.9795904755592346,0.001
0.0017329610435159078,0.0003041210323620665,0.013685442,0.9887834787368774,0.001
0.0015609947066488011,0.0002918569146762214,0.01349381,0.9891740083694458,0.001
0.0018632939168518143,0.00027760433598208084,0.012878268,0.9896640777587891,0.001
0.0016922531940508634,0.00034682809685667354,0.0142924115,0.9871401190757751,0.001
0.0017731107156058507,0.0003940100298981027,0.015959686,0.9854876399040222,0.001
0.0018801015252912683,0.00036915423940323916,0.014929741,0.9862269759178162,0.001
0.0017144204458288317,0.0002989874804673794,0.013158534,0.9889032244682312,0.001
0.0018133508856408298,0.0002835545359024157,0.013468127,0.9894631505012512,0.001
0.0019089503662793764,0.0003189917194201068,0.014304565,0.9881263971328735,0.001
0.001754075552370133,0.00023299809375506206,0.0122117335,0.9913477897644043,0.001
0.0016540900646110199,0.00040754836906368536,0.015661037,0.9849675297737122,0.001
0.0016627353383228184,0.00029780234338735073,0.013767101,0.9889776706695557,0.001
0.001748912104605032,0.0002369901109583831,0.012277985,0.9911879897117615,0.001
0.001561845326796174,0.00022276389972830657,0.01203632,0.9916992783546448,0.001
0.00191372946719639,0.00032316062909861404,0.014497093,0.9880141019821167,0.001
0.0017341575252690486,0.00027415703880251385,0.012876534,0.9898006916046143,0.001
0.0016032574931159616,0.0002998982611946606,0.0135851605,0.9888327121734619,0.001
0.0016220991133845278,0.0003190573461324675,0.014250048,0.9881365299224854,0.001
0.0016917797587146716,0.0002721390628721565,0.01302888,0.989907443523407,0.001
0.001574270793103746,0.00033319548310828395,0.015011538,0.9876157641410828,0.001
0.0018284085580879555,0.0002584598720810997,0.012894122,0.9904303550720215,0.001
0.0016661924343290074,0.0003823132392426487,0.015434916,0.9858832955360413,0.001
0.001681521430145949,0.0004307570840561918,0.016537985,0.9840425252914429,0.001
0.001703770531873618,0.00033014073051162995,0.014251029,0.9877523183822632,0.001
0.0016946709731460682,0.0002742874694376951,0.013036374,0.9898210763931274,0.001
0.0017424073743833495,0.0002662056188758773,0.012925722,0.9901286959648132,0.001
0.001699023604825405,0.0006206469479366206,0.020007774,0.9770664572715759,0.001
0.0016195164527744055,0.00028085430919115123,0.013245693,0.9895553588867188,0.001
0.0015804281765927693,0.00024139082840216966,0.01177138,0.9910182356834412,0.001
0.001800845071972747,0.0002475524203570482,0.012415956,0.9907886981964111,0.001
0.001675845731681745,0.0002503881896700477,0.01251779,0.99079829454422,0.0005
0.0017132632351214332,0.00039528094688042376,0.016080808,0.9854458570480347,0.0005
0.0015117673219979873,0.0002567157468244356,0.012395149,0.9905059337615967,0.0005
0.0015804393366644425,0.0001814580582504277,0.0105421515,0.993263840675354,0.0005
0.0015394984569866211,0.00022241751745847674,0.011610284,0.9917941689491272,0.0005
0.0015350154609352882,0.00021807700007533035,0.011586277,0.9919022917747498,0.0005
0.0014377512328792364,0.00023399641698536774,0.011993987,0.9913107752799988,0.0005
0.0016058901549383467,0.00018706552267152196,0.010388482,0.9930686950683594,0.0005
0.0015272320522594133,0.0001986017759918468,0.0107647125,0.9926474690437317,0.0005
0.0016951181343756617,0.00021779111375508364,0.011619753,0.991926908493042,0.0005
0.0016156791859040303,0.00022261765479925089,0.011822923,0.9917203783988953,0.0005
0.0016904106272184955,0.0005119066190673038,0.018409343,0.981003999710083,0.0005
0.001807054940478078,0.000352604695459983,0.014565874,0.986983060836792,0.0005
0.0015318229137587227,0.00023957996624327885,0.01208122,0.9911342859268188,0.0005
0.0016473116577669447,0.00022751607866666745,0.011589026,0.9915810823440552,0.0005
0.0015974919062240849,0.0005151768527866807,0.018408509,0.9808938503265381,0.0005
0.0015495546103920788,0.00025228505667958717,0.012575363,0.9906951785087585,0.0005
0.0016177224959912045,0.0003041676548794688,0.014081056,0.9886628985404968,0.0005
0.0015461650053371807,0.00019225796556080846,0.011179891,0.9928367137908936,0.0005
0.0014582662577075618,0.00018220565531616253,0.010628171,0.9932068586349487,0.0005
0.0015537247435921536,0.00021888076359270295,0.011463886,0.9918918609619141,0.00025
0.001780768108022,0.00015605465402283394,0.0099136075,0.9942246675491333,0.00025
0.001508592440014971,0.00022009036244223049,0.012273828,0.9918301105499268,0.00025
0.0015706620370370468,0.0002793422651545067,0.013394248,0.9896593689918518,0.00025
0.0016608912672381848,0.000164695167162184,0.010145929,0.9938936233520508,0.00025
0.001594811984770266,0.00025868556258501485,0.012373591,0.9904322028160095,0.00025
0.0015489497579567666,0.00018114027746681435,0.01037297,0.9932713508605957,0.00025
0.0015654802688264422,0.00017775372089090524,0.010179435,0.9933936595916748,0.00025
0.0015409068437293172,0.0001802156518048529,0.010579525,0.9932931661605835,0.00025
0.0015597321392436113,0.0001574645909082998,0.009789266,0.9940962791442871,0.00025
0.001480129807688562,0.00017722176441263096,0.01021678,0.993430495262146,0.00025
0.0013544003687067224,0.00012969147671052875,0.008976843,0.9951854348182678,0.00025
0.0015991431328334978,0.0001814724261445614,0.010523946,0.9932451248168945,0.00025
0.0014416380228275166,0.00013502679454783598,0.009213008,0.9949833154678345,0.00025
0.0015581467363517732,0.0002337109156845448,0.012587301,0.9913619756698608,0.00025
0.001504714209087459,0.00018761849484387008,0.010917417,0.9930245876312256,0.00025
0.001403212354385427,0.00018446408224311503,0.010308042,0.993186354637146,0.00025
0.0014343232831119427,0.00021468824525072705,0.011475824,0.9920284748077393,0.00025
0.0015219017963058181,0.00034708680444358225,0.014941229,0.9871066808700562,0.00025
0.001439564090521474,0.00022104838899394963,0.01190994,0.9917991161346436,0.00025
0.0015879558914873217,0.00022460282586204508,0.011984151,0.9916839599609375,0.00025
0.0015135400570995574,0.00020666678756242618,0.011151083,0.9923442602157593,0.00025
0.0015902301945191408,0.0001914622377322909,0.011183105,0.9929134249687195,0.00025
0.0015418212677884315,0.0001540856689340823,0.0099316295,0.994277834892273,0.00025
0.0015986811818688043,0.0001886932089594969,0.010866187,0.9929974675178528,0.00025
0.0015385075031580137,0.00025800955336308107,0.012392253,0.9904850721359253,0.00025
0.0015690507267468743,0.00026532124866207596,0.012629158,0.9901574850082397,0.00025
0.0015351099643989333,0.00014830829331913264,0.009489468,0.9944840669631958,0.00025
0.0015919136839719222,0.00016770437347683279,0.0100942915,0.9937527775764465,0.000125
0.0014118416925027434,0.00014205184682699232,0.009385507,0.9947255849838257,0.000125
0.0015794549511546003,0.00013705631075329924,0.0093167,0.9949111938476562,0.000125
0.0015414622695451336,0.00018519976280610231,0.011188448,0.9931466579437256,0.000125
0.001373735535058326,0.0001435341227988829,0.0092936475,0.9946828484535217,0.000125
0.0015569301122533425,0.00019165685686554448,0.011056045,0.9928880929946899,0.000125
0.001702918518068535,0.00027805809016475297,0.013101891,0.9897081255912781,0.000125
0.0013768982291886848,0.00023353576883285618,0.012184342,0.9913631677627563,0.000125
0.0014153867760407074,0.00015554044784948928,0.009727393,0.9942310452461243,0.000125
0.0014717495725822768,0.00013859453095695548,0.009198741,0.9948635101318359,0.000125
0.0013760820363781282,0.00019018486818822566,0.011039444,0.9929140210151672,0.000125
0.001555461683476876,0.00016133398791377354,0.009788292,0.9939860701560974,0.000125
0.0013409405165085836,0.00015196213522964777,0.009697888,0.9943497776985168,0.000125
0.0015194753733729677,0.00016193039906890286,0.009954325,0.9939830899238586,0.000125
